Image,Plate,Well,Well Number,Plate_Well,Plate Number,Replicate,Image Directory Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Experimental Condition [Cell Line],Cell Line Mutation,Mutation Detailed,Compound Treatment,Compound Identifier,Compound Molecular Weight Structure,Compound Name,Compound Secondary Name,Compound Class,Compound Enzyme,Compound Action,Compound Selectivity,Compound Description,Compound Selectivity Updated,Control Type,Control Comments,Channels,Has Phenotype,Phenotype Annotation Level,n,nseg.dna.h.cor.s2.sd,nseg.dna.h.idm.s1.sd,nseg.dna.h.var.s2.mean,nseg.dna.m.eccentricity.sd,nseg.0.m.majoraxis.mean,nseg.0.m.eccentricity.mean,nseg.0.s.radius.max.qt.0.05,cseg.act.m.majoraxis.mean,cseg.act.m.eccentricity.mean,cseg.dnaact.m.eccentricity.sd,cseg.0.s.radius.min.qt.0.05,cseg.act.h.idm.s2.sd,cseg.dnaact.h.f13.s1.mean,cseg.act.h.cor.s1.mean,cseg.dnaact.b.mean.qt.0.05,cseg.dnaact.h.den.s2.sd,cseg.dnaact.b.mad.mean,cseg.act.h.asm.s2.mean,cseg.act.h.f12.s2.sd
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-23, Field #2]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A23,23,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A23,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,no treatment,,,,,,,,,,NA,negative control,no treatment,DAPI:DNA;CY3:Actin,,,3330,0.123020807,0.14419671,4.504473024,0.152075097,22.36004391,0.607520774,8.05865523,41.31055976,0.708949915,0.378042796,1.727889663,0.089685465,0.634386362,0.684079373,-0.098169855,0.268753457,0.691720728,0.346359743,0.109166791
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-24, Field #2]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A24,24,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A24,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,no treatment,,,,,,,,,,NA,negative control,no treatment,DAPI:DNA;CY3:Actin,,,3453,0.126802407,0.136935231,5.281664707,0.149967298,22.42807155,0.601153313,8.387720363,41.07062022,0.713275469,0.374850472,1.67446558,0.099530395,0.622600609,0.697315078,-0.135433964,0.271238112,0.592383265,0.318856588,0.108289378
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-1, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A1,1,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A1,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,no treatment,,,,,,,,,,NA,negative control,no treatment,DAPI:DNA;CY3:Actin,,,2327,0.139844699,0.153299109,5.359524439,0.146952584,22.75775284,0.610481812,8.260531891,43.25319104,0.711993962,0.379328051,1.594356288,0.088020256,0.569235855,0.65853358,-0.042957682,0.291094908,0.350633699,0.345989597,0.107960093
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-2, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A2,2,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A2,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,no treatment,,,,,,,,,,NA,negative control,no treatment,DAPI:DNA;CY3:Actin,,,3261,0.109940598,0.148006414,4.804585051,0.15095577,22.80509047,0.600544916,8.402465574,42.66920797,0.707350744,0.379812448,1.441383869,0.097852782,0.619716193,0.687450642,-0.12689118,0.275024494,0.551642966,0.338841649,0.108084377
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-3, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A3,3,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A3,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78875,78875,"19,522,001",DL-alpha-Methyl-p-tyrosine,4-Hydroxy-alpha-methylphenylalanine,Neurotransmission,Enzyme,Inhibitor,Tyrosine hydroxylase,Inhibitor of catecholamine synthesis and tyrosine hydroxylase,Tyrosine hydroxylase,,,DAPI:DNA;CY3:Actin,,,3284,0.115206064,0.14141135,4.877669194,0.148223867,22.57357953,0.603039777,8.41657779,42.19563754,0.714997555,0.371732638,1.876292712,0.10136391,0.638677944,0.707296279,-0.075107558,0.264119912,0.661110982,0.331827281,0.108300296
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-4, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A4,4,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A4,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78955,78955,"16,319,638",N-Acetyl-L-Cysteine,,Glutamate,,Antagonist,,Amino acid analog that partially improves neuronal survival following transient forebrain ischemia,AA-analog,,,DAPI:DNA;CY3:Actin,,,3510,0.112129442,0.131631181,4.469972062,0.149027988,22.48890248,0.599843596,8.526689174,42.14498981,0.713717573,0.376344486,1.365817781,0.087123014,0.628935813,0.693152746,-0.107055584,0.270914361,0.653543687,0.326281097,0.101209552
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-5, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A5,5,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A5,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78876,78876,"20,225,818","6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole",,Neurotransmission,Enzyme,Inhibitor,MAO,MAO inhibitor,MAO,,,DAPI:DNA;CY3:Actin,,,3270,0.121088332,0.135541647,4.681042578,0.148304613,22.90970515,0.607058306,8.502430727,42.70348551,0.710253818,0.377784798,1.352796769,0.106594416,0.629553458,0.704247235,-0.102635366,0.277625907,0.616234737,0.320645128,0.105483645
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-6, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A6,6,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A6,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78956,78956,"13,117,601",6-Aminohexanoic acid,6-Aminocaproic acid; EACA,Immune System,,Inhibitor,Blood Clotting,"Promotes rapid dissociation of plasmin, thereby inhibiting the activation of plasminogen and subsequent fibrinolysis; inhibits plasminogen binding to activated platelets",Blood Clotting,,,DAPI:DNA;CY3:Actin,,,3600,0.115830721,0.137679592,4.594223985,0.148334709,22.61362005,0.604494342,8.48877211,41.73718382,0.71723363,0.377290228,1.722568867,0.096072897,0.620797115,0.69759696,-0.130535729,0.281563113,0.638584594,0.335020981,0.113439623
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-7, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A7,7,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A7,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78877,78877,"5,906,825",Acetamide,Amide C2,Biochemistry,Enzyme,Inhibitor,Carbonic anhydrase,Carbonic anhydrase inhibitor,Carbonic anhydrase,,,DAPI:DNA;CY3:Actin,,,3505,0.118047329,0.130637879,4.71788419,0.148602571,22.51427463,0.599941443,8.484249591,41.97551364,0.7113324,0.377649172,1.77044808,0.094851276,0.627563457,0.694208737,-0.105342551,0.273472264,0.684786979,0.306865804,0.101929293
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-8, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A8,8,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A8,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78957,78957,"21,028,401",Altretamine,"N,N,N',N',N'',N''-Hexamethyl-1,3,5-triazine-2,4,6-triamine",DNA Metabolism,,Inhibitor,,Antineoplastic,DNA_metabol,,,DAPI:DNA;CY3:Actin,,,3305,0.124735623,0.141276941,4.817079195,0.149968628,22.27339628,0.599151184,8.52834374,41.00179905,0.70889368,0.375439183,1.576136463,0.106692763,0.636689467,0.706905636,-0.075127976,0.280667364,0.685434758,0.333140496,0.115640382
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-9, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A9,9,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A9,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78878,78878,"18,771,466",Amantadine hydrochloride,"Tricyclo[3.3.1.1 3,7]decan-1-amine hydrochloride",Dopamine,,Releaser,,Dopamine releaser used in the treatment of Parkinsonism and drug-related extrapyramidal reactions; antiviral (Influenza A),dopamine,,,DAPI:DNA;CY3:Actin,,,3622,0.123298927,0.138218008,4.470462667,0.148996262,22.62286837,0.601114562,8.40533392,42.34301798,0.714395584,0.378304128,1.511566227,0.092792764,0.634199404,0.698265508,-0.110865895,0.271081868,0.629768213,0.344530912,0.113453042
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-10, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A10,10,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A10,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78958,78958,"32,921,084","Adenosine 3',5'-cyclic monophosphate","cAMP; 3',5'-Cyclic AMP",Phosphorylation,Enzyme,Activator,PKA,PKA activator; second messenger,PKA,,,DAPI:DNA;CY3:Actin,,,3793,0.109691455,0.134257376,4.327510931,0.147192261,22.47501152,0.606446548,8.439599597,41.73547462,0.718331637,0.374323819,1.316314232,0.095703384,0.619269475,0.705131014,-0.129173711,0.282996597,0.601194571,0.298111767,0.104077861
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-11, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A11,11,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A11,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78879,78879,"10,312,183",GABA,gamma-Aminobutyric acid,GABA,,Agonist,,Endogenous neurotransmitter,neurotransmitter,,,DAPI:DNA;CY3:Actin,,,3407,0.122350484,0.134642691,4.525898654,0.148677038,22.55570322,0.60535202,8.545522488,41.90554155,0.716281342,0.380095928,1.756289388,0.100654997,0.619641691,0.695526459,-0.128558798,0.2817793,0.561021758,0.327257118,0.109454954
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-12, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A12,12,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A12,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78959,78959,"16,667,382",(+-)-AMT hydrochloride,"(+-)-2-Amino-5,6-dihydro-6-methyl-4H-1,3-thiazine hydrochloride",Nitric Oxide,Enzyme,Inhibitor,iNOS,"Potent, selective and reversible inducible nitric oxide synthase inhibitor",iNOS,,,DAPI:DNA;CY3:Actin,,,3968,0.111765027,0.139426101,4.636619973,0.150070876,22.20845573,0.609302015,8.470227598,40.15576932,0.717593729,0.383199535,1.415634707,0.099688266,0.615094968,0.697836062,-0.137251922,0.293612435,0.604197038,0.29964202,0.101862606
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-13, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A13,13,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A13,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78880,78880,"17,561,625",Gabaculine hydrochloride,,GABA,Enzyme,Inhibitor,GABA transaminase,GABA transaminase inhibitor; conformationally constrained GABA analog,GABA transaminase,,,DAPI:DNA;CY3:Actin,,,3543,0.119453125,0.129383866,4.526441199,0.149044489,22.44975508,0.604770971,8.455892613,41.56604382,0.71362701,0.377678893,1.487896872,0.099121023,0.620297008,0.701394388,-0.111145184,0.288400869,0.650962335,0.307247199,0.104264361
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-14, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A14,14,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A14,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78960,78960,"43,846,549",5'-Amino-5'-deoxyadenosine p-toluenesulfonate salt,,Adenosine,,Analog,,Adenosine analog.,Adenosine-analog,,,DAPI:DNA;CY3:Actin,,,3475,0.116195972,0.139665616,4.4444805,0.150417048,22.17077998,0.600733023,8.23792571,41.0140153,0.708091567,0.377756806,1.591368735,0.09289824,0.628298562,0.706066708,-0.095591307,0.273530599,0.828441845,0.302899384,0.100980322
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-15, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A15,15,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A15,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78881,78881,"21,859,507",O-(Carboxymethyl)hydroxylamine hemihydrochloride,Aminooxyacetic acid; (Carboxymethoxy)amine hemihydrochloride,Biochemistry,Enzyme,Inhibitor,Aminotransferase,Non-selective aminotransferase inhibitor,Aminotransferase,,,DAPI:DNA;CY3:Actin,,,4399,0.124809484,0.134344647,4.294251378,0.147377361,22.23135184,0.604327227,8.39258638,40.14174917,0.710591393,0.378979776,1.371996141,0.100043374,0.612881064,0.709043695,-0.169527294,0.283154865,0.544224501,0.289963491,0.105891403
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-16, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A16,16,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A16,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78961,78961,"37,639,372","1-Allyl-3,7-dimethyl-8-p-sulfophenylxanthine",,Adenosine,,Antagonist,A2,Weak A2 adenosine receptor antagonist; water soluble,adenosine receptor,,,DAPI:DNA;CY3:Actin,,,3705,0.120415508,0.132512688,4.279484264,0.148826371,22.38212613,0.609362073,8.46809154,40.44911301,0.714400602,0.375445039,1.507609079,0.101596744,0.632414945,0.708915583,-0.102742118,0.283347648,0.65561416,0.302894538,0.104283247
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-17, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A17,17,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A17,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78882,78882,"22,518,307",(+-)-2-Amino-7-phosphonoheptanoic acid,(+-)-AP-7,Glutamate,,Antagonist,NMDA,NMDA glutamate receptor antagonist; anticonvulsant,NMDA,,,DAPI:DNA;CY3:Actin,,,3639,0.122075649,0.140654767,4.536388836,0.150266977,22.53155948,0.598369273,8.466320434,41.79906151,0.709107941,0.374566686,1.888397669,0.105645086,0.640358271,0.731051117,-0.076996625,0.265653573,0.670523791,0.306446566,0.115774541
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-18, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A18,18,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A18,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78962,78962,"32,440,165",Acetohexamide,,Hormone,,Releaser,Insulin,Stimulates insulin release,Insulin,,,DAPI:DNA;CY3:Actin,,,3202,0.122490431,0.13691726,4.236127363,0.146040528,22.67181429,0.605055216,8.500119798,42.00257397,0.711109359,0.373961053,1.573634802,0.087943304,0.634231725,0.679474743,-0.102310814,0.279362973,0.665917852,0.349141644,0.109682174
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-19, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A19,19,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A19,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78883,78883,"31,383,043",N-Acetylprocainamide hydrochloride,Acedainide; N-Acetylnovocainamide hydrochloride; NAPA,Na+ Channel,,Blocker,,Blocks Na+ channels and appears to have Class III anti-arrhythmic activity;metabolite of Procainamide,Na+-channel,,,DAPI:DNA;CY3:Actin,,,3794,0.118899964,0.137088833,4.53491634,0.146906057,22.43402514,0.604989882,8.457721967,40.90970592,0.713143512,0.37845656,1.695002366,0.102864494,0.633646821,0.717715569,-0.104904745,0.273364854,0.671271222,0.309344928,0.105318875
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-20, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A20,20,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A20,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78963,78963,"14,511,584","cis-Azetidine-2,4-dicarboxylic acid",,Glutamate,,Modulator,NMDA,NMDA glutamate receptor modulator,NMDA,,,DAPI:DNA;CY3:Actin,,,3718,0.121398054,0.133329031,4.312783603,0.149821835,22.66976866,0.604356626,8.350909894,41.25521723,0.713839208,0.376061732,1.367166449,0.106679228,0.619122489,0.710311477,-0.147582788,0.283959704,0.66068767,0.289696113,0.104625679
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-21, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A21,21,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A21,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78884,78884,"3,855,079",Actinonin,3-[[1-[(2-(Hydroxymethyl)-1-pyrrolidinyl)carbonyl]-2-methylpropyl]carbamoyl]octanohydroxamic acid,Biochemistry,Enzyme,Inhibitor,Leucine aminopeptidase,Leucine aminopeptidase inhibitor,Leucine aminopeptidase,,,DAPI:DNA;CY3:Actin,,,3722,0.119644818,0.136237055,4.569402053,0.147839998,22.83595545,0.600706334,8.519717712,42.77783128,0.714202619,0.375627253,1.818590108,0.103548939,0.632263695,0.703244637,-0.086001371,0.262881972,0.572862033,0.325051441,0.106045252
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-22, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A22,22,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A22,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,78964,78964,"10,110,589","2,3-Butanedione monoxime",Diacetyl monoxime,K+ Channel,,Blocker,ATP-sensitive,Blocks ATP-sensitive K+ channels,K+ channel,,,DAPI:DNA;CY3:Actin,,,3711,0.119878994,0.137802594,4.317427279,0.148292917,22.31354548,0.606027933,8.214655798,40.04696512,0.708318822,0.373213104,1.350550558,0.090869408,0.629147363,0.694827133,-0.090520945,0.283233279,0.797653166,0.324245056,0.10493217
"2011-11-17 X-Man LOPAC_X03_LP_S01_1.xdce [Well A-23, Field #3]",2011-11-17 X-Man LOPAC_X03_LP_S01_1,A23,23,2011-11-17 X-Man LOPAC_X03_LP_S01_1_A23,1,1,2011-11-17_X-Man_LOPAC_X01_LP_S01_1,Homo sapiens,NCBITaxon,NCBITaxon_9606,02-006,02-006,AKT1/2,AKT1-/- & AKT2-/-,no treatment,,,,,,,,,,NA,negative control,no treatment,DAPI:DNA;CY3:Actin,,,3330,0.123020807,0.14419671,4.504473024,0.152075097,22.36004391,0.607520774,8.05865523,41.31055976,0.708949915,0.378042796,1.727889663,0.089685465,0.634386362,0.684079373,-0.098169855,0.268753457,0.691720728,0.346359743,0.109166791
